MAL_ID,Name,Score,Genres,Type,Episodes,Ranked,Popularity,Members,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,28,39,1251960,229170,182126,131625,62330,20688,8904,3184,1357,741,1580
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,159,518,273145,30043,49201,49505,22632,5805,1877,577,221,109,379
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,266,201,558913,50229,75651,86142,49432,15376,5838,1965,664,316,533
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,2481,1467,94683,2182,4806,10128,11618,5709,2920,1083,353,164,131
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,3710,4369,13224,312,529,1242,1713,1068,634,265,83,50,27
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,604,1003,148259,9226,14904,22811,16734,6206,2621,795,336,140,151
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,468,687,214499,11829,16309,20008,13062,5574,3148,1339,484,278,321
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,52,1317,3612,20470,1123,1777,3102,3075,1286,602,218,88,31,32
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,360,1233,117929,10948,15820,22379,12912,3874,1236,369,97,48,259
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,30,169,614100,77350,60652,43459,22045,8861,4381,2086,882,593,1177
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,660,8,1830540,216866,234481,345563,286175,108155,46886,15477,6098,3582,5310
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Unknown,95,31,1352724,292445,166186,141755,85424,35342,19019,8201,3675,2616,6340
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,675,1039,141832,9576,12719,19791,16284,6624,3086,1071,443,210,225
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12,6493,7333,3648,69,61,152,260,236,143,88,40,32,28
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,625,514,275464,17907,27623,38112,27327,11034,5396,1897,780,441,405
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,1844,1284,111734,3589,6664,12349,12702,6033,3079,1521,643,350,297
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,896,823,182599,6856,8309,10851,8636,4429,2462,1456,684,411,664
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24,2240,936,158343,6091,9759,17761,20152,10273,5392,2250,873,456,298
28,Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,609,1666,80183,4347,7425,11074,7965,3038,1248,345,118,56,58
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,1565,3985,16652,430,874,1801,1696,662,279,114,38,13,28
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,208,54,1160651,186797,168056,157596,93532,38385,17571,9686,4408,3263,3714
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,1742,833,180681,13516,15245,23683,25396,12694,6313,2636,1042,654,737
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,102,195,572080,127081,95821,77593,41261,16444,7057,4493,2279,1941,2264
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,108,301,432190,58627,65906,60815,29055,9477,3899,1748,671,456,842
